Time, Height, Measured, MeasurementError, InitialUncertainty
1.155538, 12.543177, 13.753630, 1.000000, 1.000000
1.164822, 13.135579, 10.940035, 1.000000, 1.000000
1.167870, 12.033413, 11.233146, 1.000000, 1.000000
1.186198, 11.604931, 12.275336, 1.000000, 1.000000
1.190952, 11.932244, 9.489528, 1.000000, 1.000000
1.208516, 10.679807, 11.930919, 1.000000, 1.000000
1.217799, 11.287716, 12.568104, 1.000000, 1.000000
1.229285, 11.904902, 10.124190, 1.000000, 1.000000
1.252556, 10.963968, 9.780027, 1.000000, 1.000000
1.261346, 10.351512, 11.523824, 1.000000, 1.000000
1.268554, 10.920302, 11.036978, 1.000000, 1.000000
1.280946, 10.947595, 11.903131, 1.000000, 1.000000
1.293252, 11.393044, 12.535706, 1.000000, 1.000000
1.304537, 11.933428, 11.103191, 1.000000, 1.000000
1.315945, 11.485757, 12.273417, 1.000000, 1.000000
1.324389, 11.854671, 10.978105, 1.000000, 1.000000
1.337897, 11.375072, 12.925448, 1.000000, 1.000000
1.343679, 12.132030, 14.155706, 1.000000, 1.000000
1.350305, 13.122570, 12.559812, 1.000000, 1.000000
1.362869, 12.799628, 13.307804, 1.000000, 1.000000
1.371801, 13.023227, 11.805622, 1.000000, 1.000000
1.376519, 12.398005, 11.917745, 1.000000, 1.000000
1.389368, 12.112047, 12.994511, 1.000000, 1.000000
1.398549, 12.519539, 10.963935, 1.000000, 1.000000
1.414023, 11.683006, 11.554838, 1.000000, 1.000000
1.432835, 11.544353, 13.043908, 1.000000, 1.000000
1.446390, 12.238248, 11.758733, 1.000000, 1.000000
1.456587, 11.955263, 10.658731, 1.000000, 1.000000
1.459644, 11.293841, 10.495012, 1.000000, 1.000000
1.476672, 10.819460, 11.102564, 1.000000, 1.000000
1.488786, 10.905944, 12.057430, 1.000000, 1.000000
1.506916, 11.396587, 12.605523, 1.000000, 1.000000
1.508753, 11.992251, 10.662352, 1.000000, 1.000000
1.511471, 11.314217, 12.684445, 1.000000, 1.000000
1.514989, 11.982285, 10.540844, 1.000000, 1.000000
1.527927, 11.197840, 12.618945, 1.000000, 1.000000
1.529501, 11.900528, 10.729275, 1.000000, 1.000000
1.543477, 11.244000, 11.667956, 1.000000, 1.000000
1.550647, 11.418865, 9.895576, 1.000000, 1.000000
1.560452, 10.605648, 11.787241, 1.000000, 1.000000
1.569248, 11.149375, 12.899700, 1.000000, 1.000000
1.584487, 11.941195, 11.577218, 1.000000, 1.000000
1.590792, 11.724053, 10.434283, 1.000000, 1.000000
1.591613, 11.074564, 11.130804, 1.000000, 1.000000
1.603342, 11.036167, 10.913939, 1.000000, 1.000000
1.608689, 10.944280, 10.215957, 1.000000, 1.000000
1.618923, 10.520441, 8.998888, 1.000000, 1.000000
1.630259, 9.692359, 8.660110, 1.000000, 1.000000
1.643110, 9.098411, 8.709023, 1.000000, 1.000000
1.652512, 8.845752, 7.527690, 1.000000, 1.000000
1.660617, 8.136056, 8.886492, 1.000000, 1.000000
1.670023, 8.451672, 8.986357, 1.000000, 1.000000
1.672884, 8.700711, 9.700317, 1.000000, 1.000000
1.686892, 9.109749, 8.694116, 1.000000, 1.000000
1.697170, 8.834107, 7.906436, 1.000000, 1.000000
1.702026, 8.337870, 8.762564, 1.000000, 1.000000
1.711751, 8.484623, 7.940557, 1.000000, 1.000000
1.722025, 8.142287, 7.380557, 1.000000, 1.000000
1.736627, 7.659725, 4.869501, 1.000000, 1.000000
1.748289, 6.181891, 4.919401, 1.000000, 1.000000
1.767317, 5.412808, 4.959145, 1.000000, 1.000000
1.773976, 5.136901, 5.433084, 1.000000, 1.000000
1.785155, 5.201623, 3.720108, 1.000000, 1.000000
1.792743, 4.403581, 6.066682, 1.000000, 1.000000
1.809340, 5.107860, 4.150266, 1.000000, 1.000000
1.824150, 4.513218, 3.572796, 1.000000, 1.000000
1.830232, 3.994804, 3.711468, 1.000000, 1.000000
1.841744, 3.760913, 3.440874, 1.000000, 1.000000
1.849957, 3.534308, 3.615350, 1.000000, 1.000000
1.857312, 3.514634, 3.664333, 1.000000, 1.000000
1.866739, 3.511556, 4.325462, 1.000000, 1.000000
1.871745, 3.876765, 4.491012, 1.000000, 1.000000
1.884444, 4.076910, 5.717509, 1.000000, 1.000000
1.902254, 4.744515, 4.733155, 1.000000, 1.000000
1.906974, 4.697844, 3.781248, 1.000000, 1.000000
1.920625, 4.119765, 4.974535, 1.000000, 1.000000
1.929264, 4.470405, 3.717257, 1.000000, 1.000000
1.942509, 3.974744, 1.402728, 1.000000, 1.000000
1.956833, 2.558019, 3.060332, 1.000000, 1.000000
1.966630, 2.718602, 2.312747, 1.000000, 1.000000
1.975108, 2.436537, 3.822891, 1.000000, 1.000000
1.988367, 3.004542, 3.469805, 1.000000, 1.000000
1.999343, 3.132244, 3.637671, 1.000000, 1.000000
2.005515, 3.325434, 2.430546, 1.000000, 1.000000
2.013469, 2.800735, 3.019504, 1.000000, 1.000000
2.014530, 2.899762, 3.398494, 1.000000, 1.000000
2.024191, 3.054356, 3.453611, 1.000000, 1.000000
2.040402, 3.092897, 4.207454, 1.000000, 1.000000
2.052465, 3.528631, 4.799666, 1.000000, 1.000000
2.056465, 4.123538, 5.014273, 1.000000, 1.000000
2.062912, 4.503110, 6.019633, 1.000000, 1.000000
2.067724, 5.211999, 4.430424, 1.000000, 1.000000
2.082961, 4.663361, 4.290439, 1.000000, 1.000000
2.097303, 4.326248, 5.261334, 1.000000, 1.000000
2.101738, 4.746800, 3.810760, 1.000000, 1.000000
2.118747, 4.096764, 5.796691, 1.000000, 1.000000
2.129065, 4.834922, 3.575163, 1.000000, 1.000000
2.136069, 4.128559, 5.238194, 1.000000, 1.000000
2.145570, 4.578846, 3.527720, 1.000000, 1.000000
2.158925, 3.904859, 3.133923, 1.000000, 1.000000
2.169584, 3.399676, 3.611378, 1.000000, 1.000000
2.182117, 3.363337, 3.072588, 1.000000, 1.000000
2.185114, 3.183734, 3.561360, 1.000000, 1.000000
2.187443, 3.345888, 2.343361, 1.000000, 1.000000
2.201383, 2.683941, 4.297809, 1.000000, 1.000000
2.207620, 3.418363, 2.434136, 1.000000, 1.000000
2.214865, 2.841536, 3.389610, 1.000000, 1.000000
2.213201, 3.135076, 3.944298, 1.000000, 1.000000
2.227741, 3.368361, 1.282464, 1.000000, 1.000000
2.235313, 2.235373, 1.873359, 1.000000, 1.000000
2.246809, 1.916590, 0.621494, 1.000000, 1.000000
2.262459, 1.079401, 0.112900, 1.000000, 1.000000
2.268559, 0.521573, -1.471955, 1.000000, 1.000000
